Name,Gene_ID,GenomeBuild,Chr,MapInfo,SourceVersion,goldstandard2
cg00000292,487,36,16,28797601,36.1,0.807065832
cg00002426,7871,36,3,57718583,36.1,0.745218044
cg00003994,4223,36,7,15692387,36.1,0.062556999
cg00005847,3232,36,2,176737319,36.1,0.1798734
cg00007981,24145,36,11,93502242,36.1,0.062984942
cg00008493,341947,36,14,92883530,36.1,0.971130547
cg00008713,3613,36,18,11970953,36.1,0.020413297
cg00009407,123016,36,14,88360674,36.1,0.022186095
cg00011459,5373,36,16,8797926,36.1,0.853160814
cg00012199,6038,36,14,20220864,36.1,0.037276252
cg00012386,116841,36,1,225989135,36.1,0.018965757
cg00012792,81567,36,6,8009492,36.1,0.013564879
cg00013618,3535,36,22,20710839,36.1,0.856782805
cg00014085,54884,36,2,85435016,36.1,0.041605537
cg00014837,84519,36,12,6627518,36.1,0.771085494
cg00015770,84109,36,4,122521457,36.1,0.106963772
cg00019495,84525,36,4,57242282,36.1,0.262681025
cg00020533,7287,36,6,35588894,36.1,0.877062453
cg00021527,8148,36,17,31160293,36.1,0.02945056
cg00022866,283234,36,11,63865016,36.1,0.470988652
cg00024396,60481,36,6,53321967,36.1,0.054048788
cg00024812,51692,36,2,9481699,36.1,0.063718294
cg00025991,22982,36,10,726625,36.1,0.438808135
cg00027083,23136,36,18,5533801,36.1,0.068359398
cg00027674,23682,36,11,87548545,36.1,0.139761294
cg00029826,57820,36,14,19871299,36.1,0.186396239
cg00031162,407977,36,17,7394101,36.1,0.628578944
cg00032227,26151,36,17,70284107,36.1,0.02115328
cg00033516,51274,36,4,38343168,36.1,0.037058845
cg00033773,84292,36,19,12640366,36.1,0.967174141
cg00034039,138241,36,9,73716086,36.1,0.062801967
cg00035347,22978,36,10,104943598,36.1,0.483484466
cg00035623,27338,36,19,60611648,36.1,0.076442444
cg00037763,26040,36,18,40535761,36.1,0.86852085
cg00037940,5291,36,3,139961975,36.1,0.867478301
cg00040861,51690,36,19,2279391,36.1,0.033019125
cg00040873,4716,36,16,1949158,36.1,0.177448766
cg00043004,124056,36,16,1970893,36.1,0.058069515
cg00043080,23646,36,19,45544995,36.1,0.887259498
cg00044245,2045,36,6,94185610,36.1,0.05236297
cg00047050,8065,36,11,107384641,36.1,0.106925222
cg00047469,257169,36,9,115212389,36.1,0.020110389
cg00050312,5578,36,17,61729527,36.1,0.021087837
cg00051979,118924,36,10,95452151,36.1,0.114410191
cg00054706,10438,36,2,68143476,36.1,0.043036312
cg00056767,144811,36,13,43351183,36.1,0.041382159
cg00057593,2765,36,8,143913961,36.1,0.720593255
cg00058938,148014,36,19,45416573,36.1,0.380592872
cg00059424,23481,36,22,29318148,36.1,0.053517138
cg00059930,5925,36,13,47792383,36.1,0.655706183
cg00060762,123169,36,15,50051425,36.1,0.045479243
cg00061059,9524,36,19,14501983,36.1,0.103778964
cg00062776,7288,36,19,54094236,36.1,0.983133678
cg00063144,3881,36,17,36807581,36.1,0.865874163
cg00065385,10881,36,9,110663216,36.1,0.873157982
cg00065408,784,36,12,47498742,36.1,0.020538026
cg00066816,3593,36,5,158690931,36.1,0.244976954
cg00067471,513,36,19,1192377,36.1,0.164007399
cg00069261,1039,36,16,22294032,36.1,0.059486469
cg00071250,356,36,1,170894886,36.1,0.591541724
cg00072216,10608,36,4,2233436,36.1,0.033678145
cg00075967,64220,36,15,72282407,36.1,0.790221397
cg00076645,92181,36,5,171644167,36.1,0.044240407
cg00077877,50807,36,8,131483656,36.1,0.621408113
cg00078194,4192,36,11,46359525,36.1,0.038096842
cg00079056,27290,36,9,33229641,36.1,0.816093144
cg00079563,26286,36,22,41583465,36.1,0.028494989
cg00080012,8726,36,11,85633337,36.1,0.024004122
cg00081935,10867,36,12,3057167,36.1,0.064140613
cg00083937,23542,36,22,49386671,36.1,0.589026926
cg00084687,57798,36,7,91914832,36.1,0.021446432
cg00089071,7703,36,17,34159335,36.1,0.04619579
cg00090147,2626,36,8,11599776,36.1,0.084724419
cg00091693,54474,36,17,36295128,36.1,0.681442958
cg00094851,3797,36,2,26059210,36.1,0.026458992
cg00095526,779,36,1,199348309,36.1,0.839617219
cg00096922,1749,36,7,96492121,36.1,0.078925138
cg00097536,678,36,2,43307980,36.1,0.026331214
cg00098162,118932,36,10,90609553,36.1,0.789331316
cg00101227,4359,36,1,159546890,36.1,0.858137247
cg00103783,9526,36,17,7427973,36.1,0.01835019
cg00105253,256281,36,14,104718239,36.1,0.058451232
cg00105470,79169,36,1,226357491,36.1,0.066483546
cg00107187,388021,36,14,104142043,36.1,0.09084909
cg00107488,10587,36,22,18310437,36.1,0.247534309
cg00107632,55276,36,4,37504895,36.1,0.018979687
cg00108454,712,36,1,22836201,36.1,0.573662094
cg00109274,160851,36,13,41521032,36.1,0.015917729
cg00112517,84152,36,17,35036537,36.1,0.122928554
cg00113020,11006,36,19,59865294,36.1,0.754568847
cg00113951,9478,36,12,119562473,36.1,0.127858362
cg00116234,92949,36,9,18464243,36.1,0.098573238
cg00116838,147699,36,19,50693586,36.1,0.077346736
cg00117172,864,36,1,25128425,36.1,0.022690158
cg00119079,27074,36,3,184362972,36.1,0.053046299
cg00121158,23081,36,9,6747826,36.1,0.021810798
cg00121640,23245,36,9,119216336,36.1,0.039086147
cg00123035,5993,36,1,149586162,36.1,0.053965143
cg00126034,7473,36,17,42251161,36.1,0.037755537
cg00128560,91151,36,16,3292014,36.1,0.917853257
cg00128654,55051,36,14,89867816,36.1,0.037135145
cg00128877,8569,36,1,46842765,36.1,0.080077551
cg00129774,1017,36,12,54646681,36.1,0.058930601
cg00131557,29103,36,13,42494656,36.1,0.879780318
cg00132141,29119,36,10,69126313,36.1,0.528313012
cg00133909,80381,36,15,71764254,36.1,0.029674835
cg00134787,4619,36,17,10360224,36.1,0.72541461
cg00135056,56941,36,3,130479985,36.1,0.116925437
cg00136105,79158,36,12,100749042,36.1,0.044070596
cg00136477,714,36,1,22842926,36.1,0.773300025
cg00136736,8563,36,22,28279905,36.1,0.061796929
cg00138126,56937,36,20,55720103,36.1,0.668420623
cg00141162,3059,36,3,122862467,36.1,0.086311551
cg00143376,10316,36,2,232102946,36.1,0.463701355
cg00145118,10007,36,5,141374115,36.1,0.436053218
cg00146096,2188,36,11,22603885,36.1,0.033659992
cg00149659,55845,36,3,10132352,36.1,0.052305036
cg00149976,11343,36,3,129024219,36.1,0.026603655
cg00151607,2588,36,16,87451008,36.1,0.015926854
cg00155167,157680,36,8,100095007,36.1,0.060826153
cg00155485,23389,36,12,115198983,36.1,0.077566439
cg00155609,7001,36,19,12773527,36.1,0.032314803
cg00156216,334,36,11,129445059,36.1,0.056740882
cg00156744,6793,36,5,171548268,36.1,0.023029753
cg00158308,27199,36,13,96444342,36.1,0.054591499
cg00160914,55924,36,1,112100786,36.1,0.257385377
cg00162401,2941,36,6,52967782,36.1,0.033240691
cg00162643,23586,36,9,32516492,36.1,0.088774867
cg00164898,5600,36,22,49051254,36.1,0.041429277
cg00167504,644,36,7,43765147,36.1,0.026790346
cg00168082,25,36,9,132578998,36.1,0.07843218
cg00168785,151525,36,2,159850889,36.1,0.115533948
cg00168942,219770,36,10,35934436,36.1,0.5515148
