Name,Gene_ID,GenomeBuild,Chr,Accession,overallMeanByCpGacross50data
cg00000292,487,36,16,NM_173201.2,0.669272816
cg00002426,7871,36,3,NM_007159.2,0.482276607
cg00003994,4223,36,7,NM_005924.3,0.077068758
cg00005847,3232,36,2,NM_006898.4,0.294052561
cg00006414,57541,36,7,NM_020781.2,0.0672842
cg00007981,24145,36,11,NM_015368.3,0.051144475
cg00008493,341947,36,14,NM_182971.1,0.949716639
cg00008713,3613,36,18,NM_014214.1,0.041190737
cg00009407,123016,36,14,NM_198309.2,0.03708427
cg00010193,401114,36,4,NM_207489.1,0.609790159
cg00011459,5373,36,16,NM_000303.1,0.85028981
cg00012199,6038,36,14,NM_194430.1,0.031917922
cg00012386,116841,36,1,NM_053052.2,0.038542757
cg00012792,81567,36,6,NM_030810.2,0.046420443
cg00013618,3535,36,22,,0.833091887
cg00014085,54884,36,2,NM_017750.2,0.043171455
cg00014837,84519,36,12,NM_032489.2,0.816968551
cg00015770,84109,36,4,NM_198179.1,0.134624593
cg00016968,389,36,1,NM_175744.3,0.652336552
cg00019495,84525,36,4,NM_032495.4,0.244765264
cg00020533,7287,36,6,NM_003322.2,0.869936174
cg00021527,8148,36,17,NM_003487.2,0.034540492
cg00022606,128637,36,20,NM_144628.1,0.054758927
cg00022866,283234,36,11,NM_032251.3,0.578278052
cg00024396,60481,36,6,NM_021814.3,0.067190249
cg00024812,51692,36,2,NM_016207.2,0.044301649
cg00025138,4293,36,14,NM_033141.2,0.02780876
cg00025991,22982,36,10,NM_014974.1,0.550014968
cg00027083,23136,36,18,NM_012307.2,0.10505958
cg00027674,23682,36,11,NM_022337.1,0.153445778
cg00029826,57820,36,14,NM_021178.2,0.11660862
cg00029931,6173,36,X,NM_021029.3,0.187095655
cg00030047,148646,36,1,NM_173795.2,0.36499749
cg00031162,407977,36,17,NM_172089.2,0.505286046
cg00032227,26151,36,17,NM_015654.3,0.02430192
cg00032666,10046,36,X,NM_005491.1,0.681752123
cg00033516,51274,36,4,NM_016531.3,0.053552838
cg00033773,84292,36,19,NM_032332.2,0.838786291
cg00034039,138241,36,9,NM_182505.3,0.07798818
cg00035347,22978,36,10,NM_012229.2,0.450596945
cg00035623,27338,36,19,NM_014501.1,0.088001211
cg00037763,26040,36,18,NM_015559.1,0.867785826
cg00037940,5291,36,3,NM_006219.1,0.869848258
cg00040861,51690,36,19,NM_016199.1,0.036713872
cg00040873,4716,36,16,NM_004548.1,0.156706667
cg00041575,10077,36,11,NM_139022.2,0.458311606
cg00042156,84856,36,10,NM_032770.3,0.71148374
cg00043004,124056,36,16,NM_144603.2,0.121262555
cg00043080,23646,36,19,NM_012268.1,0.872037443
cg00044245,2045,36,6,NM_004440.2,0.077826143
cg00044729,150350,36,22,NM_152512.3,0.739591652
cg00047050,8065,36,11,NM_003478.3,0.083915437
cg00047469,257169,36,9,NM_152786.1,0.049036084
cg00049986,55012,36,14,NM_017917.2,0.181001266
cg00050312,5578,36,17,NM_002737.2,0.034717004
cg00051623,834,36,11,NM_033294.2,0.826451084
cg00051979,118924,36,10,NM_203440.2,0.078182999
cg00053292,51204,36,17,NM_016360.2,0.058385483
cg00053647,221960,36,7,NM_198097.1,0.063308526
cg00054706,10438,36,2,NM_006333.2,0.039246979
cg00055233,6013,36,9,NM_006911.2,0.323530428
cg00056767,144811,36,13,NM_153218.1,0.05411637
cg00057593,2765,36,8,NM_002066.1,0.663523403
cg00058938,148014,36,19,NM_152479.3,0.341505511
cg00059225,2741,36,5,NM_000171.1,0.290960529
cg00059424,23481,36,22,NM_014303.2,0.041650451
cg00059740,78996,36,7,NM_024033.1,0.031100248
cg00059930,5925,36,13,NT_024524.13,0.709271997
cg00060762,123169,36,15,NM_138792.2,0.045707226
cg00060882,1968,36,X,NM_001415.2,0.2149866
cg00061059,9524,36,19,NM_138501.4,0.08727725
cg00061629,60529,36,11,NT_009237.17,0.275925556
cg00062776,7288,36,19,NM_003323.1,0.94423185
cg00063144,3881,36,17,NM_002277.2,0.842378505
cg00065385,10881,36,9,NM_006687.2,0.899617709
cg00065408,784,36,12,NM_000725.2,0.046545685
cg00066153,56,36,11,NM_020069.3,0.868352465
cg00066816,3593,36,5,NM_002187.2,0.259428713
cg00067471,513,36,19,NM_001687.4,0.150433465
cg00069261,1039,36,16,NM_001802.1,0.067818246
cg00071250,356,36,1,NM_000639.1,0.682032016
cg00071998,4439,36,6,NM_002441.2,0.052716279
cg00072216,10608,36,4,NM_006454.2,0.029617673
cg00073650,51693,36,16,NM_016209.1,0.66046096
cg00075967,64220,36,15,NM_022369.2,0.65540983
cg00076645,92181,36,5,NM_152277.1,0.047597311
cg00077457,284695,36,1,NM_181781.2,0.790110038
cg00077877,50807,36,8,NM_018482.2,0.64345974
cg00078194,4192,36,11,NM_001012334.1,0.036081119
cg00078867,7454,36,X,NM_000377.1,0.589968869
cg00079056,27290,36,9,NM_014471.1,0.837299649
cg00079563,26286,36,22,NM_014570.3,0.028091756
cg00080012,8726,36,11,NM_003797.2,0.026225489
cg00081935,10867,36,12,NM_006675.3,0.070005483
cg00081975,8714,36,17,NM_003786.2,0.051878168
cg00083720,11034,36,20,NM_006870.3,0.026518329
cg00083937,23542,36,22,NM_012324.2,0.522623389
cg00084687,57798,36,7,NM_021167.2,0.029203065
cg00089071,7703,36,17,NM_007144.2,0.029226463
cg00090147,2626,36,8,NT_077531.3,0.128310023
cg00091693,54474,36,17,NM_019010.1,0.66466408
cg00093177,342666,36,17,NM_198502.1,0.846444003
cg00094319,5042,36,13,NM_030979.2,0.737926487
cg00094851,3797,36,2,NM_002254.5,0.072468542
cg00095526,779,36,1,NM_000069.1,0.706345779
cg00095674,51177,36,1,NM_016274.3,0.075394541
cg00096922,1749,36,7,NM_005221.4,0.074304805
cg00097536,678,36,2,NM_006887.3,0.044965645
cg00098162,118932,36,10,NM_144590.1,0.790234021
