ProbeID,GSM946048
cg00000292,0.705861431
cg00002426,0.272443435
cg00003994,0.037032466
cg00005847,0.133246824
cg00006414,0.030939062
cg00007981,0.069973968
cg00008493,0.992719199
cg00008713,0.02145768
cg00009407,0.010457567
cg00010193,0.634211887
cg00011459,0.96170754
cg00012199,0.007031004
cg00012386,0.027587839
cg00012792,0.025206845
cg00013618,0.945071544
cg00014085,0.009495937
cg00014837,0.965734173
cg00015770,0.085470689
cg00016968,0.778303626
cg00019495,0.135158094
cg00020533,0.963626981
cg00021527,0.009068994
cg00022606,0.034070851
cg00022866,0.58669366
cg00024396,0.034672065
cg00024812,0.013783031
cg00025138,0.01110685
cg00025991,0.712835775
cg00027083,0.010962606
cg00027674,0.160578838
cg00029826,0.049941838
cg00029931,0.001495316
cg00030047,0.127022197
cg00031162,0.727043657
cg00032227,0.010931545
cg00032666,0.928377169
cg00033516,0.020625173
cg00033773,0.808301167
cg00034039,0.067610576
cg00035347,0.530466797
cg00035623,0.062571235
cg00037763,0.916479554
cg00037940,0.905114215
cg00040861,0.022493833
cg00040873,0.135966612
cg00041575,0.755403201
cg00042156,0.593368994
cg00043004,0.440601604
cg00043080,0.930867644
cg00044245,0.035516164
cg00044729,0.94472838
cg00047050,0.053331642
cg00047469,0.031519193
cg00049986,0.153812953
cg00050312,0.014843169
cg00051623,0.959995367
cg00051979,0.034392665
cg00053292,0.014600916
cg00053647,0.091794257
cg00054706,0.014191319
cg00055233,0.423003466
cg00056767,0.052438436
cg00057593,0.858219304
cg00058938,0.39408679
cg00059225,0.208458614
cg00059424,0.01585414
cg00059740,0.015050386
cg00059930,0.8793221
cg00060762,0.016724476
cg00060882,0.176780791
cg00061059,0.027138308
cg00061629,0.098319683
cg00062776,0.995746753
cg00063144,0.921072068
cg00065385,0.965943131
cg00065408,0.032948281
cg00066153,0.946610176
cg00066816,0.292620786
cg00067471,0.10343993
cg00069261,0.050345798
cg00071250,0.939128752
cg00071998,0.049555975
cg00072216,0.007740597
cg00073650,0.768798887
cg00075967,0.871496779
cg00076645,0.027827521
cg00077457,0.794724637
cg00077877,0.847086343
cg00078194,0.012291564
cg00078867,0.866000633
cg00079056,0.926686678
cg00079563,0.01294989
cg00080012,0.007504834
cg00081935,0.042268896
cg00081975,0.021959146
cg00083720,0.005240964
cg00083937,0.384176195
cg00084687,0.011267418
cg00089071,0.002853438
cg00090147,0.069404249
cg00091693,0.69328495
cg00093177,0.923553874
cg00094319,0.829987619
cg00094851,0.126039732
cg00095526,0.588513789
cg00095674,0.154541017
cg00096922,0.017777443
cg00097536,0.032762934
cg00098162,0.910349037
cg00098239,0.005745753
cg00099550,0.048982075
cg00101227,0.891881247
cg00103783,0.011125484
cg00105253,0.148749645
cg00105470,0.017986042
cg00107187,0.104686822
cg00107488,0.321572937
cg00107632,0.013841376
cg00108454,0.612648373
cg00109274,0.054133766
cg00112517,0.066339312
cg00113020,0.972014531
cg00113951,0.127426427
cg00115714,0.037411315
cg00116234,0.03176107
cg00116838,0.09753716
cg00117172,0.055820752
cg00119079,0.060438554
cg00121158,0.023317661
cg00121640,0.115242893
cg00121904,0.100272655
cg00123035,0.020843461
cg00126034,0.040212446
cg00126657,0.831159473
cg00126698,0.876064975
cg00128197,0.011063038
cg00128560,0.952385413
cg00128654,0.009553809
cg00128766,0.032415029
cg00128877,0.261694049
cg00129774,0.058546699
cg00131121,0.017698148
cg00131557,0.944058471
cg00132141,0.851184143
cg00133909,0.045937386
cg00134539,0.973407059
cg00134787,0.937929457
cg00135056,0.208603355
cg00135393,0.537532714
cg00136105,0.012582558
cg00136405,0.847006578
cg00136477,0.74853709
cg00136736,0.030399676
cg00138126,0.718113286
cg00141162,0.871830154
cg00141550,0.911255947
cg00141845,0.135222771
cg00143376,0.544960248
cg00143998,0.030344465
cg00145118,0.202122764
cg00145348,0.053850707
cg00146096,0.014310564
cg00149659,0.008730461
cg00149976,0.028847227
cg00151234,0.041992107
cg00151607,0.011528957
cg00152644,0.966878305
cg00155167,0.009851337
cg00155485,0.016069022
cg00155609,0.029774812
cg00156216,0.020618719
cg00156744,0.025688686
cg00158308,0.058094282
cg00160914,0.090765228
cg00162401,0.018195158
cg00162643,0.0100922
cg00164041,0.016579979
cg00164898,0.102697194
cg00165981,0.035212115
cg00167504,0.026024742
cg00168082,0.013081265
cg00168785,0.023738676
cg00168942,0.840536666
cg00169548,0.611592417
cg00171126,0.009733151
cg00171161,0.048055177
cg00174500,0.396401181
cg00174901,0.074335491
cg00176210,0.869989333
cg00176879,0.998695833
cg00177013,0.126298308
cg00177698,0.042536372
cg00177923,0.010561976
cg00178790,0.039955007
cg00179446,0.023381903
cg00180012,0.017596818
cg00180631,0.57987524
cg00182461,0.037810063
cg00183782,0.862459161
cg00183916,0.030850018
cg00184884,0.005815969
cg00184893,0.011396125
cg00185103,0.892809827
cg00185839,0.051749388
cg00186141,0.018294213
cg00186701,0.73091199
cg00186954,0.649434606
cg00187380,0.142009277
cg00187686,0.910662234
cg00188348,0.594753536
cg00191052,0.539740845
cg00194146,0.091840469
cg00195561,0.905591847
cg00197381,0.036018716
cg00197641,0.040534084
cg00199549,0.985177306
cg00200063,0.023188541
cg00201234,0.300398239
cg00202702,0.010060663
cg00202711,0.118966974
cg00204262,0.875674881
cg00206052,0.018921478
cg00207534,0.007881296
cg00208830,0.906260922
cg00208967,0.141524829
cg00209066,0.900245122
cg00209951,0.05288592
cg00210842,0.049577352
cg00211661,0.227908275
cg00212549,0.019339298
cg00213044,0.825559543
cg00213331,0.939064694
cg00213714,0.077704907
cg00214346,0.008822523
cg00214794,0.785973141
cg00214855,0.224582113
cg00215066,0.970518951
cg00216361,0.036809109
cg00216758,0.045000123
cg00217795,0.305941648
cg00221494,0.321248809
cg00223186,0.014962511
cg00223950,0.036380661
cg00224234,0.007486913
cg00224508,0.028707678
cg00226904,0.874940565
cg00226923,0.771156826
cg00228799,0.017496965
cg00229387,0.281800891
cg00230271,0.029894975
cg00230368,0.043376137
cg00230502,0.114969141
cg00230685,0.013925244
cg00231140,0.020483013
cg00231644,0.140957128
cg00231920,0.033912611
cg00233307,0.207135339
cg00234616,0.07177231
cg00234961,0.013326945
cg00236832,0.04996004
cg00237010,0.338884781
cg00238052,0.071915886
cg00239071,0.952014177
cg00239419,0.917751628
cg00239685,0.065915115
cg00240312,0.014472284
cg00240432,0.017963024
cg00240880,0.756908692
cg00241355,0.024890288
cg00242839,0.399467975
cg00243313,0.023081632
cg00245878,0.904533512
cg00247489,0.022132726
cg00250430,0.267334599
cg00253200,0.011316804
cg00256074,0.925389232
cg00256166,0.02470771
cg00256281,0.012134107
cg00259755,0.250898651
cg00260778,0.816506085
cg00261552,0.016205408
cg00261781,0.018272219
cg00262415,0.016377213
cg00263723,0.016173147
cg00263760,0.047097568
cg00265415,0.006965619
cg00265490,0.015876831
cg00268009,0.016463254
cg00268338,0.013335446
cg00269115,0.007954504
cg00269932,0.990003028
cg00273068,0.402673625
cg00273124,0.87750824
cg00274399,0.038526322
cg00275232,0.007359354
cg00276797,0.013198189
cg00278366,0.500794564
cg00279797,0.149559044
cg00280814,0.922440182
cg00280894,0.883138369
cg00282347,0.129912
cg00282683,0.014404081
cg00283535,0.894728664
cg00288562,0.013322322
cg00290028,0.019385171
cg00290506,0.006575229
cg00291877,0.037883948
cg00292662,0.107008079
cg00292971,0.230623211
cg00293409,0.040324475
cg00294382,0.372386009
cg00295206,0.056127157
cg00295325,0.943744049
cg00296685,0.038455755
cg00297584,0.085786694
cg00297600,0.408008138
cg00298357,0.812542681
cg00298951,0.765811885
cg00301864,0.00370718
cg00302793,0.023481301
cg00303548,0.004017933
cg00304278,0.027112701
cg00307685,0.926675599
cg00308133,0.003566021
cg00308665,0.139619243
cg00309056,0.028703063
cg00309204,0.014567117
cg00311768,0.752950902
cg00312919,0.012011515
cg00314943,0.92186088
cg00315936,0.088063929
cg00317680,0.067655117
cg00318573,0.358570214
cg00318865,0.014706764
cg00319692,0.905231725
cg00319761,0.017487511
cg00320243,0.011996182
cg00321065,0.014189021
cg00321478,0.273721916
cg00323915,0.731482517
cg00324733,0.022654746
cg00325491,0.914130535
cg00327185,0.137664491
cg00327483,0.983634443
cg00328227,0.534933282
cg00331237,0.046338136
cg00331433,0.020111825
cg00332153,0.27371109
cg00332745,0.015544691
cg00333226,0.053845174
cg00333528,0.677999127
cg00334507,0.601780709
cg00335286,0.564145055
cg00336605,0.020697109
cg00338702,0.03230464
cg00338893,0.011747562
cg00340102,0.0866323
cg00342530,0.161190517
cg00343092,0.254482946
cg00344358,0.952549744
cg00344372,0.944099852
cg00344709,0.854926022
cg00346145,0.035868499
cg00347729,0.788340361
cg00347904,0.041036147
cg00350296,0.494812083
cg00350478,0.851468757
cg00350702,0.007878799
